DATE,CES7072200001
1990-01-01,6538.5
1990-02-01,6536.0
1990-03-01,6539.4
1990-04-01,6526.9
1990-05-01,6501.3
1990-06-01,6530.5
1990-07-01,6552.8
1990-08-01,6560.4
1990-09-01,6567.4
1990-10-01,6526.5
1990-11-01,6536.9
1990-12-01,6545.4
1991-01-01,6508.7
1991-02-01,6502.4
1991-03-01,6504.6
1991-04-01,6489.7
1991-05-01,6477.3
1991-06-01,6502.9
1991-07-01,6486.8
1991-08-01,6493.8
1991-09-01,6513.4
1991-10-01,6512.4
1991-11-01,6525.1
1991-12-01,6537.4
1992-01-01,6567.9
1992-02-01,6569.2
1992-03-01,6564.5
1992-04-01,6598.0
1992-05-01,6613.8
1992-06-01,6613.8
1992-07-01,6641.3
1992-08-01,6653.5
1992-09-01,6670.8
1992-10-01,6729.2
1992-11-01,6734.9
1992-12-01,6727.5
1993-01-01,6741.1
1993-02-01,6766.6
1993-03-01,6717.5
1993-04-01,6799.8
1993-05-01,6829.5
1993-06-01,6843.6
1993-07-01,6857.1
1993-08-01,6884.1
1993-09-01,6898.3
1993-10-01,6940.8
1993-11-01,6944.1
1993-12-01,6985.7
1994-01-01,7009.3
1994-02-01,7015.1
1994-03-01,7036.3
1994-04-01,7075.0
1994-05-01,7080.6
1994-06-01,7090.1
1994-07-01,7113.6
1994-08-01,7130.2
1994-09-01,7147.3
1994-10-01,7168.1
1994-11-01,7197.7
1994-12-01,7227.8
1995-01-01,7293.0
1995-02-01,7303.9
1995-03-01,7324.0
1995-04-01,7343.0
1995-05-01,7350.4
1995-06-01,7387.3
1995-07-01,7412.4
1995-08-01,7428.4
1995-09-01,7450.5
1995-10-01,7430.0
1995-11-01,7458.2
1995-12-01,7471.0
1996-01-01,7475.2
1996-02-01,7482.1
1996-03-01,7512.0
1996-04-01,7521.4
1996-05-01,7540.6
1996-06-01,7546.0
1996-07-01,7567.6
1996-08-01,7580.0
1996-09-01,7583.9
1996-10-01,7601.1
1996-11-01,7621.7
1996-12-01,7628.9
1997-01-01,7640.5
1997-02-01,7653.3
1997-03-01,7664.2
1997-04-01,7670.0
1997-05-01,7684.8
1997-06-01,7694.2
1997-07-01,7677.1
1997-08-01,7701.1
1997-09-01,7723.2
1997-10-01,7709.7
1997-11-01,7727.3
1997-12-01,7728.5
1998-01-01,7741.5
1998-02-01,7758.8
1998-03-01,7766.3
1998-04-01,7772.6
1998-05-01,7810.8
1998-06-01,7811.6
1998-07-01,7817.9
1998-08-01,7833.5
1998-09-01,7850.7
1998-10-01,7840.3
1998-11-01,7865.2
1998-12-01,7890.8
1999-01-01,7898.8
1999-02-01,7936.4
1999-03-01,7942.1
1999-04-01,7970.0
1999-05-01,7989.6
1999-06-01,8007.8
1999-07-01,8005.9
1999-08-01,8009.3
1999-09-01,8012.2
1999-10-01,8059.8
1999-11-01,8086.0
1999-12-01,8114.1
2000-01-01,8115.6
2000-02-01,8125.8
2000-03-01,8164.6
2000-04-01,8170.4
2000-05-01,8162.5
2000-06-01,8174.6
2000-07-01,8188.4
2000-08-01,8218.3
2000-09-01,8241.4
2000-10-01,8174.8
2000-11-01,8243.4
2000-12-01,8283.2
2001-01-01,8283.0
2001-02-01,8306.2
2001-03-01,8304.6
2001-04-01,8327.7
2001-05-01,8354.0
2001-06-01,8374.7
2001-07-01,8402.8
2001-08-01,8393.9
2001-09-01,8387.7
2001-10-01,8377.8
2001-11-01,8383.4
2001-12-01,8382.5
2002-01-01,8421.4
2002-02-01,8385.7
2002-03-01,8387.2
2002-04-01,8375.9
2002-05-01,8389.4
2002-06-01,8376.8
2002-07-01,8420.3
2002-08-01,8433.1
2002-09-01,8439.0
2002-10-01,8480.1
2002-11-01,8492.6
2002-12-01,8484.2
2003-01-01,8530.7
2003-02-01,8511.4
2003-03-01,8514.3
2003-04-01,8532.1
2003-05-01,8535.4
2003-06-01,8551.1
2003-07-01,8557.0
2003-08-01,8590.2
2003-09-01,8637.1
2003-10-01,8679.2
2003-11-01,8691.1
2003-12-01,8712.5
2004-01-01,8737.5
2004-02-01,8753.0
2004-03-01,8794.5
2004-04-01,8816.5
2004-05-01,8840.5
2004-06-01,8851.7
2004-07-01,8857.4
2004-08-01,8850.9
2004-09-01,8897.6
2004-10-01,8929.8
2004-11-01,8947.8
2004-12-01,8970.2
2005-01-01,8998.7
2005-02-01,9027.2
2005-03-01,9051.8
2005-04-01,9101.4
2005-05-01,9088.7
2005-06-01,9113.0
2005-07-01,9135.4
2005-08-01,9144.9
2005-09-01,9128.8
2005-10-01,9118.3
2005-11-01,9152.8
2005-12-01,9182.6
